1,2,3,4,5,6,7,8,9
Tran ID,Loan ID,Prop ID,Begin yyyyMMdd,Ending yyyyMMdd,Data Type,Stmt Type,Category,Amount
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,490LEASING,58490.85
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,490LEASING,58490.85
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,500TENANTI,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,500TENANTI,118754.15
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,500TENANTI,118754.15
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,BOR,510CAPEX,0.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,ADJ,510CAPEX,25812.00
 CGCMT16P5,030311617,15A2-001,20160101,20161231,AN,NOR,510CAPEX,25812.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,030BASERNT,2218324.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,030BASERNT,739441.33
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,030BASERNT,2957765.33
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,040EXPREMB,339851.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,040EXPREMB,113283.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,040EXPREMB,453134.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,160OTHERIN,47819.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,160OTHERIN,15939.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,160OTHERIN,63758.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,310RETAXES,323102.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,310RETAXES,107700.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,310RETAXES,430802.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,320PROPINS,17463.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,320PROPINS,5821.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,320PROPINS,23284.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,330UTILITI,17334.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,330UTILITI,5778.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,330UTILITI,23112.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,340REPAIRS,719492.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,340REPAIRS,239830.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,340REPAIRS,959322.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,350JANITOR,197319.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,350JANITOR,65773.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,350JANITOR,263092.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,370MANAGEM,108976.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,370MANAGEM,30010.36
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,370MANAGEM,138986.36
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,410GENERAL,87053.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,410GENERAL,29017.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,410GENERAL,116070.67
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,490LEASING,0.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,490LEASING,58490.85
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,490LEASING,58490.85
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,500TENANTI,0.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,500TENANTI,118754.15
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,500TENANTI,118754.15
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,BOR,510CAPEX,0.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,ADJ,510CAPEX,25812.00
 CGCMT16P5,030311617,15A2-001,20170101,20170930,YTD,NOR,510CAPEX,25812.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,030BASERNT,1987860.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,030BASERNT,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,030BASERNT,1987860.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,040EXPREMB,166786.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,040EXPREMB,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,040EXPREMB,166786.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,160OTHERIN,4981.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,160OTHERIN,1641.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,160OTHERIN,6622.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,310RETAXES,397559.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,310RETAXES,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,310RETAXES,397559.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,320PROPINS,24888.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,320PROPINS,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,320PROPINS,24888.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,330UTILITI,33571.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,330UTILITI,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,330UTILITI,33571.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,340REPAIRS,544005.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,340REPAIRS,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,340REPAIRS,544005.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,350JANITOR,138315.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,350JANITOR,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,350JANITOR,138315.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,370MANAGEM,86385.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,370MANAGEM,65.72
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,370MANAGEM,86450.72
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,410GENERAL,124953.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,410GENERAL,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,410GENERAL,124953.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,BOR,490LEASING,0.00
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,ADJ,490LEASING,53684.73
 CGCMT16P5,030311617,15A2-002,20160101,20161231,AN,NOR,490LEASING,53684.73
